vid,route,ts,lat,lon,speed
11-9345 1,145.0,2023-10-30 04:43:12,13.676943,100.645777,20
11-9345 1,145.0,2023-10-30 04:44:12,13.681333,100.646222,37
11-9345 1,145.0,2023-10-30 04:44:12,13.681333,100.646222,37
11-9345 1,145.0,2023-10-30 04:45:12,13.686305,100.646638,42
11-9345 1,145.0,2023-10-30 04:45:12,13.686305,100.646638,42
11-9345 1,145.0,2023-10-30 04:46:12,13.692555,100.647083,28
11-9345 1,145.0,2023-10-30 04:46:12,13.692555,100.647083,28
11-9345 1,145.0,2023-10-30 04:46:57,13.698138,100.647083,63
11-9345 1,145.0,2023-10-30 04:46:57,13.698138,100.647083,63
11-9345 1,145.0,2023-10-30 04:47:42,13.705888,100.64525,75
11-9345 1,145.0,2023-10-30 04:47:42,13.705888,100.64525,75
11-9345 1,145.0,2023-10-30 04:48:27,13.713222,100.6435,21
11-9345 1,145.0,2023-10-30 04:48:27,13.713222,100.6435,21
11-9345 1,145.0,2023-10-30 04:49:12,13.715472,100.643,37
11-9345 1,145.0,2023-10-30 04:49:12,13.715472,100.643,37
11-9345 1,145.0,2023-10-30 04:49:57,13.722,100.641888,70
11-9345 1,145.0,2023-10-30 04:49:57,13.722,100.641888,70
11-9345 1,145.0,2023-10-30 04:50:42,13.729722,100.641305,67
11-9345 1,145.0,2023-10-30 04:50:42,13.729722,100.641305,67
11-9345 1,145.0,2023-10-30 04:51:42,13.734472,100.640917,31
11-9345 1,145.0,2023-10-30 04:51:42,13.734472,100.640917,31
11-9345 1,145.0,2023-10-30 04:52:42,13.736193,100.640943,31
11-9345 1,145.0,2023-10-30 04:52:42,13.736193,100.640943,31
11-9345 1,145.0,2023-10-30 04:53:27,13.738583,100.641667,28
11-9345 1,145.0,2023-10-30 04:53:42,13.739917,100.642055,44
11-9345 1,145.0,2023-10-30 04:54:27,13.745193,100.643333,7
11-9345 1,145.0,2023-10-30 04:54:27,13.745193,100.643333,7
11-9345 1,145.0,2023-10-30 04:55:12,13.749527,100.644472,56
11-9345 1,145.0,2023-10-30 04:55:12,13.749527,100.644472,56
11-9345 1,145.0,2023-10-30 04:55:42,13.754027,100.645722,65
11-9345 1,145.0,2023-10-30 04:56:12,13.75886,100.645555,66
11-9345 1,145.0,2023-10-30 04:56:27,13.761222,100.64536,56
11-9345 1,145.0,2023-10-30 04:56:27,13.761222,100.64536,56
11-9345 1,145.0,2023-10-30 04:57:12,13.76425,100.645443,23
11-9345 1,145.0,2023-10-30 04:57:12,13.76425,100.645443,23
11-9345 1,145.0,2023-10-30 04:57:57,13.766305,100.644583,21
