sid1,sid2,route,mins
5188,3818,a,2.0
3818,3820,a,5.0
3820,4941,a,8.0
4941,3821,a,6.0
3821,3528,a,5.0
3528,3529,a,2.0
3529,381,a,9.0
381,3530,a,6.0
3530,3531,a,3.0
3531,2387,a,3.0
2387,2663,a,5.0
2663,3533,a,9.0
3533,3535,a,6.0
3535,3536,a,9.0
3536,3537,a,7.0
3537,3539,a,10.0
3539,3540,a,10.0
3540,3541,a,2.0
3541,3543,a,9.0
3543,3545,a,2.0
3545,3546,a,3.0
3546,3549,a,2.0
3549,3550,a,9.0
3550,3551,a,8.0
3551,3553,a,10.0
3553,3555,a,7.0
3555,4246,a,6.0
4246,3556,a,10.0
3556,3558,a,5.0
3558,3559,a,2.0
3559,3562,a,3.0
3562,2763,a,6.0
2763,2843,a,5.0
2843,2845,a,6.0
2845,2847,a,16.0
2847,2848,a,7.0
2848,2932,a,19.0
2932,5307,a,4.0
5307,2612,a,9.0
2612,2614,a,10.0
2614,2618,a,7.0
2618,2622,a,17.0
2622,2850,a,12.0
2850,2851,a,3.0
2851,2854,a,12.0
2854,5308,a,6.0
5308,2855,a,9.0
2855,2859,a,16.0
2859,5309,a,10.0
5309,4774,a,5.0
4774,5310,a,16.0
5310,2862,a,8.0
2862,4776,a,10.0
4776,3767,a,3.0
3767,3768,a,8.0
3722,3723,d,3.0
3723,3726,d,8.0
3726,3728,d,10.0
3728,3729,d,7.0
3729,2898,d,8.0
2898,2899,d,5.0
2899,2900,d,6.0
2900,1791,d,16.0
1791,1792,d,6.0
1792,1795,d,6.0
1795,1823,d,8.0
1823,1820,d,10.0
1820,1823,d,4.0
1823,1783,d,5.0
1783,1785,d,4.0
1785,1786,d,9.0
1786,4827,d,3.0
4827,2905,d,2.0
2905,2906,d,8.0
2906,2909,d,7.0
2909,1838,d,5.0
1838,3750,d,4.0
3750,3746,d,9.0
3746,3750,d,3.0
3750,3753,d,4.0
3753,3757,d,8.0
978,980,c,8.0
980,981,c,9.0
981,3200,c,7.0
3200,3241,c,3.0
3241,3243,c,6.0
3243,4232,c,4.0
4232,3244,c,10.0
3244,3246,c,4.0
3246,982,c,10.0
982,983,c,6.0
983,985,c,7.0
985,987,c,5.0
987,1676,c,5.0
1676,3256,c,6.0
4008,4012,c,6.0
4012,5426,c,10.0
5426,1335,c,10.0
1335,1339,c,8.0
1339,1341,c,2.0
1341,1343,c,5.0
1343,3360,c,3.0
3360,3362,c,4.0
3362,3364,c,7.0
3364,4222,c,5.0
4222,3413,c,2.0
3413,3416,c,5.0
3416,3417,c,7.0
3417,3419,c,8.0
3419,3420,c,10.0
3420,3032,c,5.0
3032,3033,c,9.0
3033,2717,c,6.0
2717,3069,c,2.0
3069,3070,c,10.0
3070,4291,c,3.0
4291,4567,c,4.0
4567,3586,c,5.0
3586,1906,c,2.0
1906,4963,c,6.0
3583,3585,c,7.0
3585,4567,c,9.0
4567,4216,c,4.0
4216,3071,c,7.0
3071,3072,c,8.0
3072,2712,c,4.0
2712,2713,c,3.0
2713,4155,c,5.0
4155,3442,c,6.0
3442,3444,c,3.0
3444,3447,c,6.0
3447,3450,c,7.0
3450,4218,c,9.0
4218,3368,c,6.0
3368,3370,c,6.0
3370,4219,c,7.0
4219,4220,c,8.0
4220,1346,c,8.0
1346,1349,c,8.0
1349,1353,c,9.0
1353,1355,c,9.0
1355,369,c,2.0
369,4090,c,10.0
4090,4091,c,4.0
4091,4098,c,10.0
4098,4253,c,10.0
4253,3184,c,3.0
3184,1642,c,9.0
1642,1646,c,10.0
1646,965,c,8.0
965,966,c,10.0
966,968,c,10.0
968,970,c,4.0
970,3192,c,6.0
3192,3195,c,6.0
3195,3199,c,10.0
3199,974,c,10.0
974,979,c,9.0
979,975,c,2.0
4768,3431,b,10.0
3431,1424,b,2.0
1424,3579,b,4.0
3579,4360,b,15.0
4360,2039,b,9.0
2039,2044,b,2.0
2044,2138,b,12.0
2138,2140,b,10.0
2140,1051,b,6.0
1051,1054,b,2.0
1054,1055,b,16.0
1055,3036,b,5.0
3036,3037,b,5.0
3037,4822,b,6.0
4822,3983,b,12.0
3983,3984,b,11.0
3984,5348,b,3.0
5348,3989,b,14.0
3989,3992,b,11.0
3992,3821,b,9.0
3821,381,b,19.0
381,3531,b,12.0
2387,3533,b,16.0
3533,3541,b,15.0
3541,3546,b,6.0
3549,3551,b,10.0
3551,3554,b,8.0
3554,4246,b,3.0
4246,3559,b,5.0
2763,4099,b,10.0
4099,4101,b,10.0
4101,4004,b,5.0
4004,3076,b,8.0
3076,373,b,7.0
373,3083,b,9.0
3083,3084,b,7.0
3084,3091,b,6.0
3091,3095,b,10.0
3095,3097,b,6.0
3097,1671,b,7.0
1671,2031,b,5.0
2031,4488,b,3.0
4488,2476,b,8.0
2476,2477,b,6.0
2477,2022,b,9.0
2022,2024,b,8.0
2024,1887,b,8.0
1887,3044,b,5.0
3044,3047,b,4.0
3047,3050,b,6.0
3050,3053,b,4.0
3053,3056,b,6.0
3056,3061,b,8.0
3061,3066,b,4.0
3066,4006,b,4.0
4006,3560,b,2.0
3560,3566,b,6.0
3566,3568,b,7.0
3568,3571,b,5.0
3571,3573,b,5.0
3573,5401,b,3.0
5401,2223,b,4.0
2223,2228,b,3.0
2228,2231,b,4.0
2231,2232,b,5.0
2232,4257,b,9.0
4257,2237,b,4.0
2237,2240,b,5.0
2240,3812,b,10.0
3812,3814,b,9.0
3814,3917,b,5.0
3917,3920,b,4.0
3920,3925,b,2.0
3925,3926,b,9.0
3926,4157,b,9.0
4157,367,b,5.0
367,3927,b,7.0
3927,1788,b,6.0
1788,1789,b,4.0
1789,1049,b,8.0
1049,1050,b,5.0
1050,1052,b,10.0
1052,2133,b,5.0
2133,2135,b,4.0
2135,2038,b,4.0
2038,2040,b,6.0
2040,4768,b,4.0
878,5477,e,7.0
5477,836,e,7.0
836,839,e,10.0
839,882,e,7.0
882,887,e,15.0
887,890,e,18.0
890,1595,e,15.0
1595,1598,e,18.0
1598,1600,e,12.0
1600,1602,e,9.0
1602,1606,e,20.0
1606,1608,e,6.0
1608,1619,e,8.0
1619,1612,e,6.0
1619,3232,e,22.0
3232,3234,e,13.0
3234,3235,e,6.0
3235,1613,e,10.0
1613,3238,e,15.0
3238,3240,e,14.0
3240,5325,e,6.0
5325,3241,e,8.0
3241,3242,e,8.0
3242,4232,e,6.0
4232,3246,e,19.0
3246,3247,e,6.0
3247,3250,e,7.0
3250,3251,e,9.0
3251,3253,e,10.0
3253,3255,e,9.0
3255,3256,e,7.0
3256,4008,e,5.0
4008,4010,e,6.0
4010,4012,e,4.0
5426,4014,e,3.0
4014,4016,e,6.0
4016,4017,e,5.0
4017,5212,e,4.0
5212,5213,e,6.0
5213,2381,e,3.0
2381,5214,e,9.0
5214,5215,e,9.0
5215,2382,e,9.0
2382,2384,e,9.0
2384,2386,e,3.0
4086,4088,e,10.0
4088,4090,e,8.0
4090,4092,e,8.0
4092,4094,e,6.0
4094,4097,e,10.0
4097,4253,e,14.0
3184,3185,e,2.0
3185,3189,e,9.0
3189,3190,e,7.0
3190,3191,e,10.0
