sid1,sid2,route,mins
3191,3192,e,6.0
3192,3194,e,10.0
3194,3197,e,9.0
3197,3199,e,12.0
3199,3200,e,2.0
3200,3201,e,10.0
3201,3205,e,12.0
3205,1615,e,18.0
1615,3209,e,15.0
3209,3210,e,12.0
3210,3230,e,12.0
3230,1610,e,13.0
1610,1622,e,23.0
1622,1624,e,18.0
1624,1629,e,22.0
1629,1631,e,6.0
1631,1634,e,12.0
1634,904,e,30.0
904,906,e,33.0
906,910,e,35.0
910,843,e,19.0
843,847,e,8.0
847,846,e,9.0
367,3983,w,4.768468692362086
3983,367,w,4.768468692362086
381,2237,w,4.79176724296421
2237,381,w,4.79176724296421
878,5477,w,2.0527894495470997
5477,878,w,2.0527894495470997
974,979,w,1.6537146598811368
979,974,w,1.6537146598811368
1050,1054,w,3.0655748778936993
1054,1050,w,3.0655748778936993
2133,2140,w,3.478091031171072
2140,2133,w,3.478091031171072
3189,3251,w,4.941954134969861
3251,3189,w,4.941954134969861
3413,3450,w,3.255666753128628
3450,3413,w,3.255666753128628
3917,3992,w,4.935207139264995
3992,3917,w,4.935207139264995
4216,4291,w,4.408195992475461
4291,4216,w,4.408195992475461
